,Country,Total_cases,New_cases,Total_deaths,New_deaths,Total_recovered,Active_cases,Serious,Case_per_million,Deaths_per_million,Total_tests,Tests_per_million
149,Martinique,192,0,14.0,0,91.0,87.0,11.5,512.0,37.0,40230.0,8592.0
150,Faeroe Islands,187,0,31.5,0,187.0,0.0,11.5,3829.0,6.0,8837.0,180938.0
151,Myanmar,182,0,6.0,0,96.0,80.0,11.5,3.0,0.1,13634.0,251.0
152,Guadeloupe,155,0,13.0,0,109.0,33.0,3.0,387.0,32.0,2866.0,7163.0
153,Gibraltar,147,0,31.5,0,145.0,2.0,11.5,4363.0,6.0,5060.0,150184.0
154,Brunei,141,0,1.0,0,136.0,4.0,2.0,323.0,2.0,16892.0,38658.0
155,Mozambique,137,8,31.5,0,43.0,94.0,11.5,4.0,6.0,6011.0,193.0
156,Mongolia,136,1,31.5,0,21.0,115.0,2.0,42.0,6.0,10318.0,3154.0
157,Bermuda,123,0,9.0,0,73.0,41.0,2.0,1974.0,144.0,5017.0,80523.0
158,Yemen,122,0,18.0,0,1.0,103.0,11.5,4.0,0.6,120.0,4.0
159,Cambodia,122,0,31.5,0,122.0,0.0,1.0,7.0,6.0,15152.0,908.0
160,Guyana,117,0,10.0,0,43.0,64.0,2.0,149.0,13.0,1089.0,1385.0
161,Trinidad and Tobago,116,0,8.0,0,107.0,1.0,11.5,83.0,6.0,2670.0,1909.0
162,Aruba,101,0,3.0,0,93.0,5.0,4.0,946.0,28.0,1937.0,18152.0
163,Bahamas,96,0,11.0,0,42.0,43.0,1.0,244.0,28.0,1794.0,4568.0
164,Monaco,96,0,4.0,0,87.0,5.0,1.0,2448.0,102.0,40230.0,8592.0
165,Cayman Islands,94,0,1.0,0,55.0,38.0,11.5,1432.0,15.0,5900.0,89905.0
166,Barbados,86,0,7.0,0,67.0,12.0,4.0,299.0,24.0,3783.0,13166.0
167,Liechtenstein,82,0,1.0,0,55.0,26.0,11.5,2151.0,26.0,900.0,23613.0
168,Sint Maarten,77,0,15.0,0,54.0,8.0,7.0,1798.0,350.0,414.0,9670.0
169,Libya,65,0,3.0,0,28.0,34.0,11.5,9.0,0.4,3633.0,530.0
170,Malawi,65,0,3.0,0,24.0,38.0,1.0,3.0,0.2,1762.0,92.0
171,French Polynesia,60,0,31.5,0,59.0,1.0,11.5,214.0,6.0,3216.0,11457.0
172,Syria,58,7,3.0,0,36.0,19.0,11.5,3.0,0.2,40230.0,8592.0
173,Angola,48,0,2.0,0,17.0,29.0,11.5,1.0,0.06,6136.0,187.0
174,Macao,45,0,31.5,0,43.0,2.0,1.0,69.0,6.0,40230.0,8592.0
